Area,Area Code,Year,Value
Syrian Arab Republic,212,1979,160962.1
Syrian Arab Republic,212,1980,138490
Syrian Arab Republic,212,1981,139650
Syrian Arab Republic,212,1982,154050
Syrian Arab Republic,212,1983,146160
Syrian Arab Republic,212,1984,151860
Syrian Arab Republic,212,1985,129690
Syrian Arab Republic,212,1986,139280
Syrian Arab Republic,212,1987,122980
Syrian Arab Republic,212,1988,143170
Syrian Arab Republic,212,1989,136340
Syrian Arab Republic,212,1990,147940
Syrian Arab Republic,212,1991,147860
Syrian Arab Republic,212,1992,175130
Syrian Arab Republic,212,1993,171030
Syrian Arab Republic,212,1994,184820
Syrian Arab Republic,212,1995,187530
Syrian Arab Republic,212,1996,198120
Syrian Arab Republic,212,1997,199250
Syrian Arab Republic,212,1998,204220
Syrian Arab Republic,212,1999,210090
Syrian Arab Republic,212,2000,216290
Syrian Arab Republic,212,2001,212200
Syrian Arab Republic,212,2002,286340
Syrian Arab Republic,212,2003,287000
Syrian Arab Republic,212,2004,288610
Syrian Arab Republic,212,2005,237950
Syrian Arab Republic,212,2006,309460
Syrian Arab Republic,212,2007,260960
Syrian Arab Republic,212,2008,231430
Syrian Arab Republic,212,2009,244900
Syrian Arab Republic,212,2010,254010
Syrian Arab Republic,212,2011,262030
Syrian Arab Republic,212,2012,250240
Syrian Arab Republic,212,2013,191870
Syrian Arab Republic,212,2014,166010
Syrian Arab Republic,212,2015,168975.71
United States of America,231,1961,7510000
United States of America,231,1962,7820000
United States of America,231,1963,7800000
United States of America,231,1964,7920000
United States of America,231,1965,8335000
United States of America,231,1966,8513000
United States of America,231,1967,8817000
United States of America,231,1968,8874000
United States of America,231,1969,9127000
United States of America,231,1970,9209000
United States of America,231,1971,9250000
United States of America,231,1972,9350000
United States of America,231,1973,9070000
United States of America,231,1974,9090000
United States of America,231,1975,8868000
United States of America,231,1976,9260000
United States of America,231,1977,9540000
United States of America,231,1978,10010000
United States of America,231,1979,10600000
United States of America,231,1980,10530000
United States of America,231,1981,10780000
United States of America,231,1982,10720000
United States of America,231,1983,10640000
United States of America,231,1984,10890000
United States of America,231,1985,11150000
United States of America,231,1986,11450000
United States of America,231,1987,12140000
United States of America,231,1988,12320000
United States of America,231,1989,12780000
United States of America,231,1990,13320000
United States of America,231,1991,13890000
United States of America,231,1992,14400000
United States of America,231,1993,14980000
United States of America,231,1994,15580000
United States of America,231,1995,16110000
United States of America,231,1996,16610000
United States of America,231,1997,17060000
United States of America,231,1998,17260000
United States of America,231,1999,17850000
United States of America,231,2000,18600000
United States of America,231,2001,19000000
United States of America,231,2002,19400000
United States of America,231,2003,19200000
United States of America,231,2004,19650000
United States of America,231,2005,19900000
United States of America,231,2006,19950000
United States of America,231,2007,20050000
United States of America,231,2008,20150000
United States of America,231,2009,19260000
United States of America,231,2010,19560000
United States of America,231,2011,19320000
United States of America,231,2012,19296000
United States of America,231,2013,19459000
United States of America,231,2014,19829000
United States of America,231,2015,20002832.24
