Area,Area Code,Year,Value
United States of America,231,1976,430158
United States of America,231,1977,430331
United States of America,231,1978,428163
United States of America,231,1979,428163
United States of America,231,1980,428163
United States of America,231,1981,428163
United States of America,231,1982,431399
United States of America,231,1983,431399
United States of America,231,1984,431399
United States of America,231,1985,431399
United States of America,231,1986,431399
United States of America,231,1987,426948
United States of America,231,1988,426948
United States of America,231,1989,426948
United States of America,231,1990,426948
United States of America,231,1991,426948
United States of America,231,1992,425429
United States of America,231,1993,422948
United States of America,231,1994,421139
United States of America,231,1995,420139
United States of America,231,1996,416306
United States of America,231,1997,414885
United States of America,231,1998,414588
United States of America,231,1999,413887
United States of America,231,2000,414399
United States of America,231,2001,414944
United States of America,231,2002,413064
United States of America,231,2003,413022.3
United States of America,231,2004,412980.9
United States of America,231,2005,412939.6
United States of America,231,2006,412898.8
United States of America,231,2007,412857.6
United States of America,231,2008,412027.4
United States of America,231,2009,411197.2
United States of America,231,2010,410367
United States of America,231,2011,409536.8
United States of America,231,2012,408706.4
United States of America,231,2013,408075.6
United States of America,231,2014,407444.8
United States of America,231,2015,406813.9
